Date,XIC.TO,ZEB.TO,XEI.TO,ZLB.TO
2020-12-31,0.2208,0.1256,0.2115,0.4421
2021-01-31,0.2122,0.2979,0.2828,0.207
2021-02-28,0.1633,0.229,0.2438,0.3639
2021-03-31,0.3112,0.1311,0.3181,0.2397
2021-04-30,0.3772,0.1449,0.1982,0.2796
2021-05-31,0.2744,0.3608,0.1399,0.2249
2021-06-30,0.2255,0.348,0.2621,0.1644
2021-07-31,0.0911,0.2649,0.3062,0.3379
2021-08-31,0.3192,0.2558,0.226,0.1991
2021-09-30,0.2096,0.3786,0.1832,0.2286
2021-10-31,0.2322,0.2877,0.1108,0.3694
2021-11-30,0.3041,0.1982,0.3249,0.1729
2021-12-31,0.2478,0.2515,0.3583,0.1425
2022-01-31,0.384,0.1484,0.208,0.2595
2022-02-28,0.3454,0.2946,0.2046,0.1553
2022-03-31,0.3409,0.3896,0.1978,0.0716
2022-04-30,0.1432,0.3305,0.2692,0.2571
2022-05-31,0.2881,0.2217,0.2915,0.1986
2022-06-30,0.2772,0.1031,0.5251,0.0947
2022-07-31,0.196,0.2752,0.234,0.2948
2022-08-31,0.287,0.3164,0.1102,0.2863
2022-09-30,0.49,0.0888,0.2997,0.1215
2022-10-31,0.4155,0.0885,0.2717,0.2242
2022-11-30,0.2688,0.1596,0.2694,0.3023
2022-12-31,0.1865,0.3499,0.2363,0.2273
2023-01-31,0.3493,0.1988,0.2528,0.1991
2023-02-28,0.226,0.3079,0.318,0.1481
2023-03-31,0.3084,0.1435,0.1632,0.3849
2023-04-30,0.2045,0.2959,0.1084,0.3912
2023-05-31,0.291,0.2761,0.2623,0.1707
2023-06-30,0.2283,0.2004,0.1823,0.389
2023-07-31,0.1285,0.1843,0.3357,0.3515
2023-08-31,0.2942,0.1898,0.3668,0.1491
2023-09-30,0.2595,0.2204,0.2835,0.2365
2023-10-31,0.1911,0.2466,0.1794,0.3829
2023-11-30,0.3286,0.2639,0.1496,0.2579
2023-12-31,0.2252,0.2532,0.3871,0.1346
2024-01-31,0.3132,0.1923,0.3364,0.1581
2024-02-29,0.1873,0.3062,0.2455,0.261
2024-03-31,0.3103,0.2909,0.1478,0.251
2024-04-30,0.1343,0.3848,0.2367,0.2443
2024-05-31,0.2333,0.2873,0.2689,0.2105
2024-06-30,0.2943,0.2004,0.2249,0.2804
2024-07-31,0.2071,0.144,0.4054,0.2435
2024-08-31,0.3052,0.1757,0.1579,0.3612
2024-09-30,0.2629,0.3178,0.2556,0.1637
2024-10-31,0.2676,0.1452,0.1301,0.4571
2024-11-30,0.2557,0.1851,0.1665,0.3926
2024-12-31,0.3725,0.3024,0.165,0.16
2025-01-31,0.1405,0.244,0.4332,0.1823
2025-02-28,0.3485,0.1726,0.248,0.2309
2025-03-31,0.2624,0.3075,0.2122,0.2179
2025-04-30,0.165,0.3752,0.1964,0.2634
2025-05-31,0.1377,0.3855,0.1901,0.2867
2025-06-30,0.2785,0.2187,0.1771,0.3257
