Date,ISM_MANUFACTURING,BBB_CREDIT_SPREAD,POLICY_RATE
2018-07-31,55.8,1.73,3.86
2018-08-31,54.9,1.83,3.9
2018-09-30,55.1,1.75,3.96
2018-10-31,56.7,2.01,3.91
2018-11-30,54.7,1.87,3.94
2018-12-31,51.9,1.88,3.86
2019-01-31,55.0,1.92,3.9
2019-02-28,52.9,2.07,3.83
2019-03-31,50.9,2.16,3.81
2019-04-30,52.4,2.02,3.85
2019-05-31,50.9,1.92,3.82
2019-06-30,49.6,2.23,3.88
2019-07-31,49.1,1.97,3.92
2019-08-31,48.3,2.23,3.96
2019-09-30,49.0,2.07,4.08
2019-10-31,49.8,1.97,3.94
2019-11-30,48.0,1.95,3.8
2019-12-31,48.6,2.05,3.85
2020-01-31,50.1,2.07,3.94
2020-02-29,46.7,1.9,4.12
2020-03-31,48.3,1.99,4.19
2020-04-30,47.8,2.08,4.26
2020-05-31,47.2,1.75,4.18
2020-06-30,47.5,1.58,4.25
2020-07-31,49.0,1.54,4.31
2020-08-31,49.9,1.45,4.22
2020-09-30,49.3,1.48,4.14
2020-10-31,50.4,1.42,4.13
2020-11-30,51.7,1.29,4.15
2020-12-31,51.8,1.46,3.89
2021-01-31,53.0,1.03,3.89
2021-02-28,53.1,1.14,3.91
2021-03-31,53.7,1.5,3.9
2021-04-30,55.7,1.34,3.92
2021-05-31,54.9,1.25,3.96
2021-06-30,54.8,1.21,3.87
2021-07-31,55.8,1.35,3.91
2021-08-31,54.4,1.18,3.89
2021-09-30,55.3,1.12,3.8
2021-10-31,56.7,0.95,3.82
2021-11-30,56.7,1.09,3.96
2021-12-31,57.7,1.02,3.82
2022-01-31,56.0,1.04,3.67
2022-02-28,54.2,1.05,3.53
2022-03-31,57.8,1.16,3.7
2022-04-30,56.5,1.16,3.68
2022-05-31,53.8,1.33,3.68
2022-06-30,56.1,1.11,3.61
2022-07-31,54.2,1.29,3.52
2022-08-31,51.6,1.58,3.34
2022-09-30,52.6,1.41,3.35
2022-10-31,52.0,1.61,3.38
2022-11-30,53.7,1.65,3.2
2022-12-31,50.5,1.73,3.11
2023-01-31,50.6,1.72,3.04
2023-02-28,50.0,1.52,3.04
2023-03-31,49.4,1.7,3.06
2023-04-30,48.3,1.74,3.16
2023-05-31,49.2,1.65,3.28
2023-06-30,49.8,1.83,3.38
2023-07-31,49.0,1.78,3.5
2023-08-31,47.1,1.77,3.39
2023-09-30,46.8,2.03,3.34
2023-10-31,48.1,2.03,3.45
2023-11-30,47.3,1.98,3.47
2023-12-31,47.5,1.96,3.47
2024-01-31,46.5,2.03,3.3
2024-02-29,50.8,2.05,3.13
2024-03-31,50.0,2.05,3.19
2024-04-30,48.3,2.09,3.23
2024-05-31,50.9,2.03,3.2
2024-06-30,51.9,2.11,3.16
2024-07-31,48.3,2.11,3.01
2024-08-31,50.9,2.06,3.04
2024-09-30,51.6,1.9,3.13
2024-10-31,53.3,1.87,3.28
2024-11-30,53.0,1.95,3.29
2024-12-31,53.4,1.83,3.27
2025-01-31,54.1,1.8,3.17
2025-02-28,56.7,1.45,3.28
2025-03-31,57.4,1.37,3.43
2025-04-30,54.8,1.68,3.38
2025-05-31,54.6,1.63,3.4
2025-06-30,58.8,1.7,3.41
